id,titre,curation:theme,dcterms:valid,curation:number
72848,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 11, Cours du 29 janvier 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,11
72851,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 12, Cours du 5 février 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,12
72853,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 13, Cours du 26 février 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,13
72854,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 14, Cours du 5 mars 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,14
72856,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 15, Cours du 12 mars 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,15
72857,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 16, Cours du 19 mars 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,16
72858,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 17, Cours du 26 mars 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,17
72861,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 18, Cours du 16 avril 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,18
72863,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 19, Cours du 23 avril 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,19
72865,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 20, Cours du 30 avril 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,20
72866,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 21, Cours du 7 mai 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,21
72868,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 22, Cours du 14 mai 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,22
72870,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 23, Cours du 21 mai 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,23
72871,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 24, Cours du 28 mai 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,24
72874,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 25, Cours du 4 juin 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,25
72875,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 26, Cours du 18 juin 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,26
72876,"[Sur Foucault]. Le pouvoir : année universitaire 1985-1986. 1, Cours du 7 janvier 1986 (Reproduction numérisée) Gilles Deleuze, aut., participant",Le pouvoir,1985-1986,1
72877,"[Sur Foucault]. Le pouvoir : année universitaire 1985-1986. 2, Cours du 14 janvier 1986 (Reproduction numérisée) Gilles Deleuze, aut., participant",Le pouvoir,1985-1986,2
72878,"[Sur Foucault]. Le pouvoir : année universitaire 1985-1986. 3, Cours du 21 janvier 1986 (Reproduction numérisée) Gilles Deleuze, aut., participant",Le pouvoir,1985-1986,3
72879,"[Sur Foucault]. Le pouvoir : année universitaire 1985-1986. 4, Cours du 28 janvier 1986 (Reproduction numérisée) Gilles Deleuze, aut., participant",Le pouvoir,1985-1986,4
72880,"[Sur Foucault]. Le pouvoir : année universitaire 1985-1986. 5, Cours du 25 février 1986 (Reproduction numérisée) Gilles Deleuze, aut., participant",Le pouvoir,1985-1986,5
72881,"[Sur Foucault]. Le pouvoir : année universitaire 1985-1986. 6, Cours du 4 mars 1986 (Reproduction numérisée) Gilles Deleuze, aut., participant",Le pouvoir,1985-1986,6
72882,"[Sur Foucault]. Le pouvoir : année universitaire 1985-1986. 7, Cours du 11 mars 1986 (Reproduction numérisée) Gilles Deleuze, aut., participant",Le pouvoir,1985-1986,7
72883,"[Sur Foucault]. Le pouvoir : année universitaire 1985-1986. 8, Cours du 18 mars 1986 (Reproduction numérisée) Gilles Deleuze, aut., participant",Le pouvoir,1985-1986,8
72884,"[Sur Foucault]. Le pouvoir : année universitaire 1985-1986. 9, Cours du 25 mars 1986 (Reproduction numérisée) Gilles Deleuze, aut., participant",Le pouvoir,1985-1986,9
72885,"[Sur Foucault]. Le pouvoir : année universitaire 1985-1986. 10, Cours du 8 avril 1986 (Reproduction numérisée) Gilles Deleuze, aut., participant",Le pouvoir,1985-1986,10
72886,"[Sur Foucault]. Le pouvoir : année universitaire 1985-1986. 11, Cours du 15 avril 1986 (Reproduction numérisée) Gilles Deleuze, aut., participant",Le pouvoir,1985-1986,11
72887,"[Sur Foucault]. Le pouvoir : année universitaire 1985-1986. 12, Cours du 22 avril 1986 (Reproduction numérisée) Gilles Deleuze, aut., participant",Le pouvoir,1985-1986,12
72888,"[Sur Foucault]. Le pouvoir : année universitaire 1985-1986. 13, Cours du 29 avril 1986 (Reproduction numérisée) Gilles Deleuze, aut., participant",Le pouvoir,1985-1986,13
72889,"[Sur Foucault]. Le pouvoir : année universitaire 1985-1986. 14, Cours du 6 mai 1986 (Reproduction numérisée) Gilles Deleuze, aut., participant",Le pouvoir,1985-1986,14
72890,"[Sur Foucault]. Le pouvoir : année universitaire 1985-1986. 15, Cours du 13 mai 1986 (Reproduction numérisée) Gilles Deleuze, aut., participant",Le pouvoir,1985-1986,15
72891,"[Sur Foucault]. Le pouvoir : année universitaire 1985-1986. 16, Cours du 20 mai 1986 (Reproduction numérisée) Gilles Deleuze, aut., participant",Le pouvoir,1985-1986,16
72892,"[Sur Foucault]. Le pouvoir : année universitaire 1985-1986. 17, Cours du 27 mai 1986 (Reproduction numérisée) Gilles Deleuze, aut., participant",Le pouvoir,1985-1986,17
72893,"[Sur Leibniz]. Première partie, Leibniz et le baroque : année universitaire 1986-1987. 1, Cours du 28 octobre 1986 (Reproduction numérisée) Gilles Deleuze, aut., participant",Leibniz et le baroque,1986-1987,1
72894,"[Sur Leibniz]. Première partie, Leibniz et le baroque : année universitaire 1986-1987. 2, Cours du 4 novembre 1986 (Reproduction numérisée) Gilles Deleuze, aut., participant",Leibniz et le baroque,1986-1987,2
72895,"[Sur Leibniz]. Première partie, Leibniz et le baroque : année universitaire 1986-1987. 3, Cours du 18 novembre 1986 (Reproduction numérisée) Gilles Deleuze, aut., participant",Leibniz et le baroque,1986-1987,3
72896,"[Sur Leibniz]. Première partie, Leibniz et le baroque : année universitaire 1986-1987. 4, Cours du 6 janvier 1987 (Reproduction numérisée) Gilles Deleuze, aut., participant",Leibniz et le baroque,1986-1987,4
72897,"[Sur Leibniz]. Deuxième partie, Les principes et la liberté : année universitaire 1986-1987. 1, Cours du 13 janvier 1987 (Reproduction numérisée) Gilles Deleuze, aut., participant",Les principes et la liberté,1986-1987,1
72899,"[Sur Leibniz]. Deuxième partie, Les principes et la liberté : année universitaire 1986-1987. 6, Cours du 10 mars 1987 (Reproduction numérisée) Gilles Deleuze, aut., participant",Les principes et la liberté,1986-1987,6
72901,"[Sur Leibniz]. Deuxième partie, Les principes et la liberté : année universitaire 1986-1987. 9, Cours du 28 avril 1987 (Reproduction numérisée) Gilles Deleuze, aut., participant",Les principes et la liberté,1986-1987,9
72902,"[Sur Leibniz]. Deuxième partie, Les principes et la liberté : année universitaire 1986-1987. 12, Cours du 19 mai 1987 (Reproduction numérisée) Gilles Deleuze, aut., participant",Les principes et la liberté,1986-1987,12
72903,"[Sur Leibniz]. Deuxième partie, Les principes et la liberté : année universitaire 1986-1987. 2, Cours du 20 janvier 1987 (Reproduction numérisée) Gilles Deleuze, aut., participant",Les principes et la liberté,1986-1987,2
72904,"[Sur Leibniz]. Deuxième partie, Les principes et la liberté : année universitaire 1986-1987. 10, Cours du 5 mai 1987 (Reproduction numérisée) Gilles Deleuze, aut., participant",Les principes et la liberté,1986-1987,10
72906,"[Sur Leibniz]. Deuxième partie, Les principes et la liberté : année universitaire 1986-1987. 7, Cours du 17 mars 1987 (Reproduction numérisée) Gilles Deleuze, aut., participant",Les principes et la liberté,1986-1987,7
72907,"[Sur Leibniz]. Deuxième partie, Les principes et la liberté : année universitaire 1986-1987. 3, Cours du 27 janvier 1987 (Reproduction numérisée) Gilles Deleuze, aut., participant",Les principes et la liberté,1986-1987,3
72908,"[Sur Leibniz]. Deuxième partie, Les principes et la liberté : année universitaire 1986-1987. 4, Cours du 24 février 1987 (Reproduction numérisée) Gilles Deleuze, aut., participant",Les principes et la liberté,1986-1987,4
72910,"[Sur Leibniz]. Deuxième partie, Les principes et la liberté : année universitaire 1986-1987. 14, Cours du 2 juin 1987 suivi d'un débat avec les étudiants (Reproduction numérisée) Gilles Deleuze, aut., participant",Les principes et la liberté,1986-1987,14
72911,"[Sur Leibniz]. Deuxième partie, Les principes et la liberté : année universitaire 1986-1987. 11, Cours du 12 mai 1987 (Reproduction numérisée) Gilles Deleuze, aut., participant",Les principes et la liberté,1986-1987,11
72912,"[Sur Leibniz]. Deuxième partie, Les principes et la liberté : année universitaire 1986-1987. 8, Cours du 7 avril 1987 (Reproduction numérisée) Gilles Deleuze, aut., participant",Les principes et la liberté,1986-1987,8
72914,"[Sur Leibniz]. Deuxième partie, Les principes et la liberté : année universitaire 1986-1987. 5, Cours du 3 mars 1987 (Reproduction numérisée) Gilles Deleuze, aut., participant",Les principes et la liberté,1986-1987,5
72915,"[Sur Leibniz]. Deuxième partie, Les principes et la liberté : année universitaire 1986-1987. 13, Cours du 26 mai 1987 (Reproduction numérisée) Gilles Deleuze, aut., participant",Les principes et la liberté,1986-1987,13
